feature,importance,abs_importance
issue_year,-0.047596384,0.047596384
sub_grade,-0.018892635,0.018892635
issue_month,-0.015440519,0.015440519
purpose,-0.0151069015,0.0151069015
earliest_cr_line_month,-0.013892125,0.013892125
emp_length,-0.011743471,0.011743471
verification_status,-0.008117645,0.008117645
initial_list_status,-0.008023249,0.008023249
title,-0.005553425,0.005553425
home_ownership,-0.0044043446,0.0044043446
earliest_cr_line_year,-0.004330323,0.004330323
inq_last_6mths,-0.0042524347,0.0042524347
term_in_months,-0.003430863,0.003430863
acc_open_past_24mths,-0.0032421006,0.0032421006
dti,-0.0028118736,0.0028118736
num_op_rev_tl,-0.0021385895,0.0021385895
num_bc_tl,-0.0020344385,0.0020344385
delinq_2yrs,-0.0019635083,0.0019635083
loan_amnt,-0.0017548024,0.0017548024
total_acc,-0.001588745,0.001588745
pub_rec_bankruptcies,-0.0015472373,0.0015472373
revol_util,-0.0015021054,0.0015021054
mo_sin_rcnt_rev_tl_op,-0.001427549,0.001427549
percent_bc_gt_75,-0.0011736116,0.0011736116
mort_acc,-0.0011448461,0.0011448461
total_bal_ex_mort,-0.0010919,0.0010919
num_tl_op_past_12m,-0.0010863828,0.0010863828
mo_sin_old_rev_tl_op,-0.0010750736,0.0010750736
mo_sin_old_il_acct,-0.0010076773,0.0010076773
emp_title,-0.0010037792,0.0010037792
pct_tl_nvr_dlq,-0.0009566012,0.0009566012
num_rev_accts,0.000944926,0.000944926
mths_since_recent_inq,-0.00093319034,0.00093319034
tot_hi_cred_lim,-0.0008968841,0.0008968841
tax_liens,-0.00084538886,0.00084538886
bc_open_to_buy,0.00081780506,0.00081780506
num_tl_90g_dpd_24m,-0.00080119545,0.00080119545
num_bc_sats,-0.00075710344,0.00075710344
num_actv_bc_tl,0.0006047231,0.0006047231
num_accts_ever_120_pd,-0.00057754887,0.00057754887
mths_since_recent_bc,-0.00056629535,0.00056629535
pub_rec,-0.0005526816,0.0005526816
avg_cur_bal,0.00047468147,0.00047468147
num_tl_30dpd,-0.00045000043,0.00045000043
bc_util,-0.00042212868,0.00042212868
total_rev_hi_lim,-0.0004060572,0.0004060572
revol_bal,-0.00040040733,0.00040040733
collections_12_mths_ex_med,-0.00033239336,0.00033239336
num_actv_rev_tl,-0.00031612307,0.00031612307
total_il_high_credit_limit,0.0002003777,0.0002003777
num_il_tl,0.00016023447,0.00016023447
annual_inc,-0.00013855362,0.00013855362
mo_sin_rcnt_tl,-9.7402706e-05,9.7402706e-05
total_bc_limit,-7.034484e-05,7.034484e-05
delinq_amnt,-5.109985e-05,5.109985e-05
open_acc,-4.088346e-05,4.088346e-05
