feature,attribution,abs_attribution
sub_grade,-0.12925191,0.12925191
issue_year,-0.11831346,0.11831346
verification_status,-0.046002395,0.046002395
home_ownership,-0.02941683,0.02941683
title,-0.028055737,0.028055737
percent_bc_gt_75,0.026005642,0.026005642
total_bc_limit,0.024133487,0.024133487
emp_title,0.023806565,0.023806565
term_in_months,-0.02296328,0.02296328
earliest_cr_line_year,-0.022528972,0.022528972
num_bc_tl,-0.020488301,0.020488301
acc_open_past_24mths,0.019334434,0.019334434
inq_last_6mths,-0.01846691,0.01846691
loan_amnt,-0.017120687,0.017120687
purpose,-0.015285115,0.015285115
mo_sin_old_rev_tl_op,0.013908077,0.013908077
emp_length,0.013201783,0.013201783
issue_month,0.011951712,0.011951712
num_tl_op_past_12m,0.0112645505,0.0112645505
total_bal_ex_mort,-0.01042821,0.01042821
dti,-0.010387859,0.010387859
earliest_cr_line_month,-0.010117676,0.010117676
bc_util,0.009041195,0.009041195
total_il_high_credit_limit,0.008164948,0.008164948
annual_inc,0.008112215,0.008112215
delinq_2yrs,-0.00738716,0.00738716
mths_since_recent_inq,-0.006298648,0.006298648
open_acc,0.006065812,0.006065812
total_acc,-0.004839344,0.004839344
mort_acc,0.0046652034,0.0046652034
revol_util,-0.004217548,0.004217548
avg_cur_bal,-0.004144054,0.004144054
mo_sin_rcnt_tl,0.0035209812,0.0035209812
num_bc_sats,-0.0033054773,0.0033054773
tax_liens,-0.0028659548,0.0028659548
pub_rec_bankruptcies,-0.0028652707,0.0028652707
mo_sin_rcnt_rev_tl_op,-0.0028426028,0.0028426028
pct_tl_nvr_dlq,-0.0026127389,0.0026127389
bc_open_to_buy,-0.0018917702,0.0018917702
num_rev_accts,0.0017983469,0.0017983469
num_tl_90g_dpd_24m,-0.0017333677,0.0017333677
tot_hi_cred_lim,-0.0016267385,0.0016267385
pub_rec,-0.0015399472,0.0015399472
collections_12_mths_ex_med,-0.0012368814,0.0012368814
mo_sin_old_il_acct,0.001181245,0.001181245
num_actv_bc_tl,-0.0011627139,0.0011627139
revol_bal,-0.0010292346,0.0010292346
total_rev_hi_lim,-0.0008765561,0.0008765561
num_il_tl,-0.00056952715,0.00056952715
num_actv_rev_tl,-0.00036753237,0.00036753237
num_tl_30dpd,0.0003132102,0.0003132102
num_op_rev_tl,0.00023689869,0.00023689869
mths_since_recent_bc,0.00019382058,0.00019382058
initial_list_status,0.00018431898,0.00018431898
delinq_amnt,-0.00012510951,0.00012510951
num_accts_ever_120_pd,1.9639456e-05,1.9639456e-05
