feature,shap_value_mean,abs_shap_value_mean
issue_year,0.06722391294731721,0.06722391294731721
sub_grade,0.05026821338523467,0.05026821338523467
home_ownership,0.018850333967355245,0.018850333967355245
issue_month,0.01701386738620781,0.01701386738620781
acc_open_past_24mths,0.016671628256734638,0.016671628256734638
term_in_months,0.015593643561728671,0.015593643561728671
verification_status,0.015588645109921707,0.015588645109921707
title,0.012714955544742782,0.012714955544742782
earliest_cr_line_year,0.012451408855664176,0.012451408855664176
mo_sin_old_rev_tl_op,0.012141991418587164,0.012141991418587164
inq_last_6mths,0.01037855531472553,0.01037855531472553
num_bc_tl,0.009756071128411556,0.009756071128411556
total_bc_limit,0.009613548900782944,0.009613548900782944
earliest_cr_line_month,0.008657650285309862,0.008657650285309862
dti,0.007921948953863847,0.007921948953863847
purpose,0.00783863405140001,0.00783863405140001
percent_bc_gt_75,0.007423828902552307,0.007423828902552307
loan_amnt,0.007377560047772814,0.007377560047772814
emp_length,0.007181293404697661,0.007181293404697661
tot_hi_cred_lim,0.006936258680939532,0.006936258680939532
total_il_high_credit_limit,0.006722652275843766,0.006722652275843766
num_tl_op_past_12m,0.006561419029504136,0.006561419029504136
annual_inc,0.0062920776750564,0.0062920776750564
total_bal_ex_mort,0.006220329986287433,0.006220329986287433
revol_util,0.0059392444817976744,0.0059392444817976744
delinq_2yrs,0.005666054761799444,0.005666054761799444
emp_title,0.005655372229840315,0.005655372229840315
mths_since_recent_inq,0.004886760737824568,0.004886760737824568
mo_sin_old_il_acct,0.004794377847569337,0.004794377847569337
initial_list_status,0.004662294864422525,0.004662294864422525
total_acc,0.004254876808068298,0.004254876808068298
num_rev_accts,0.004158335913655062,0.004158335913655062
num_il_tl,0.0036006104303976643,0.0036006104303976643
mort_acc,0.003562613349847393,0.003562613349847393
mths_since_recent_bc,0.002612664219047198,0.002612664219047198
open_acc,0.0022890476401114706,0.0022890476401114706
total_rev_hi_lim,0.002227849781041271,0.002227849781041271
num_op_rev_tl,0.002218029813774495,0.002218029813774495
mo_sin_rcnt_tl,0.00208703056575397,0.00208703056575397
num_bc_sats,0.0020510461361525193,0.0020510461361525193
num_actv_bc_tl,0.0019841863139735483,0.0019841863139735483
bc_util,0.0018875569513867388,0.0018875569513867388
pct_tl_nvr_dlq,0.0018149466979254215,0.0018149466979254215
tax_liens,0.0017757552970318932,0.0017757552970318932
bc_open_to_buy,0.0016606139691246076,0.0016606139691246076
pub_rec,0.0016504843632503207,0.0016504843632503207
mo_sin_rcnt_rev_tl_op,0.0016436501968416866,0.0016436501968416866
pub_rec_bankruptcies,0.0016127084531339854,0.0016127084531339854
avg_cur_bal,0.0015813243685584115,0.0015813243685584115
num_actv_rev_tl,0.0014907771929048525,0.0014907771929048525
num_tl_90g_dpd_24m,0.0014257752023709475,0.0014257752023709475
revol_bal,0.0011956694829035254,0.0011956694829035254
num_accts_ever_120_pd,0.0010741363294554784,0.0010741363294554784
collections_12_mths_ex_med,0.0006762507188039103,0.0006762507188039103
num_tl_30dpd,6.679347104879019e-05,6.679347104879019e-05
delinq_amnt,2.5788472596983233e-05,2.5788472596983233e-05
