feature,shap_value,abs_shap_value
sub_grade,-0.06857752444869593,0.06857752444869593
issue_year,-0.04620820694305971,0.04620820694305971
verification_status,-0.025776078239572214,0.025776078239572214
home_ownership,-0.01667977999914874,0.01667977999914874
percent_bc_gt_75,0.014048418348625413,0.014048418348625413
title,-0.013146950492305099,0.013146950492305099
total_bc_limit,0.012093302658642191,0.012093302658642191
issue_month,0.0116884564499172,0.0116884564499172
earliest_cr_line_year,-0.01128938199777758,0.01128938199777758
emp_title,0.011178322057319643,0.011178322057319643
acc_open_past_24mths,0.010531276196969587,0.010531276196969587
term_in_months,-0.009822939577349336,0.009822939577349336
loan_amnt,-0.009451160307719031,0.009451160307719031
inq_last_6mths,-0.00893665324563978,0.00893665324563978
num_bc_tl,-0.00890698085778275,0.00890698085778275
total_bal_ex_mort,-0.007557002223966122,0.007557002223966122
mo_sin_old_rev_tl_op,0.007449294896830414,0.007449294896830414
num_tl_op_past_12m,0.006612331323058632,0.006612331323058632
annual_inc,0.0047989069708927615,0.0047989069708927615
dti,-0.00438402307781979,0.00438402307781979
mths_since_recent_inq,-0.004255497965813413,0.004255497965813413
total_il_high_credit_limit,0.004138186630124067,0.004138186630124067
delinq_2yrs,-0.004009499301353469,0.004009499301353469
bc_util,0.003785801485443588,0.003785801485443588
open_acc,0.0026279260887376523,0.0026279260887376523
total_acc,-0.0025866178442745945,0.0025866178442745945
mo_sin_rcnt_tl,0.002279212112869814,0.002279212112869814
revol_util,-0.0022684345843788623,0.0022684345843788623
tax_liens,-0.0019502133860638568,0.0019502133860638568
mort_acc,0.001867366480369428,0.001867366480369428
avg_cur_bal,-0.0018166690373879856,0.0018166690373879856
mo_sin_rcnt_rev_tl_op,-0.001752137893901482,0.001752137893901482
tot_hi_cred_lim,-0.0015309645930122262,0.0015309645930122262
pub_rec_bankruptcies,-0.0014720580393372028,0.0014720580393372028
num_bc_sats,-0.0013521582394408838,0.0013521582394408838
mo_sin_old_il_acct,0.0013049393147074222,0.0013049393147074222
earliest_cr_line_month,0.0012829501948429132,0.0012829501948429132
emp_length,0.0011410175158743513,0.0011410175158743513
initial_list_status,0.001090395717524519,0.001090395717524519
num_tl_90g_dpd_24m,-0.0010563898680100736,0.0010563898680100736
purpose,0.0008230907947210677,0.0008230907947210677
pub_rec,-0.0007164966101711428,0.0007164966101711428
num_op_rev_tl,0.0006009120084306285,0.0006009120084306285
revol_bal,-0.00059552241930434,0.00059552241930434
pct_tl_nvr_dlq,0.0005622675571015079,0.0005622675571015079
mths_since_recent_bc,0.0004851169313352447,0.0004851169313352447
num_il_tl,0.0004630908988952981,0.0004630908988952981
num_rev_accts,0.000444537738858902,0.000444537738858902
collections_12_mths_ex_med,-0.0004298398806988768,0.0004298398806988768
num_accts_ever_120_pd,0.00036870966008027765,0.00036870966008027765
bc_open_to_buy,-0.00026335716198613455,0.00026335716198613455
total_rev_hi_lim,0.00017297894146375844,0.00017297894146375844
num_actv_rev_tl,-0.00015071523686643396,0.00015071523686643396
num_actv_bc_tl,-0.0001296226919005645,0.0001296226919005645
num_tl_30dpd,6.902214622612202e-08,6.902214622612202e-08
delinq_amnt,-7.111813695879797e-13,7.111813695879797e-13
