feature,average_contribution,abs_average_contribution
purpose,-0.2579951140533708,0.2579951140533708
home_ownership,-0.12125011129751373,0.12125011129751373
sub_grade,0.04760324585982375,0.04760324585982375
acc_open_past_24mths,0.030742767552986126,0.030742767552986126
issue_year,0.029873038656780603,0.029873038656780603
verification_status,0.02478811270121403,0.02478811270121403
emp_length,-0.022243764832039,0.022243764832039
tax_liens,0.01887399641110348,0.01887399641110348
term_in_months,0.017224049482252618,0.017224049482252618
delinq_amnt,-0.017065054580107857,0.017065054580107857
num_tl_30dpd,0.010994144039743164,0.010994144039743164
total_bc_limit,-0.009684961694812687,0.009684961694812687
total_il_high_credit_limit,0.008336107931692073,0.008336107931692073
inq_last_6mths,0.007197241464452902,0.007197241464452902
num_tl_op_past_12m,0.007016548589800578,0.007016548589800578
num_il_tl,0.006750866815335055,0.006750866815335055
num_bc_tl,0.005531708083673275,0.005531708083673275
earliest_cr_line_month,-0.005520971635095141,0.005520971635095141
issue_month,0.005346684120926603,0.005346684120926603
pub_rec,0.005261823789994809,0.005261823789994809
dti,0.004794037867519914,0.004794037867519914
total_bal_ex_mort,-0.0047917012666872216,0.0047917012666872216
mo_sin_old_rev_tl_op,0.004664366257560981,0.004664366257560981
title,0.004436096136748333,0.004436096136748333
num_tl_90g_dpd_24m,0.004412748557525693,0.004412748557525693
delinq_2yrs,0.004072302001966647,0.004072302001966647
percent_bc_gt_75,-0.0038179632272983904,0.0038179632272983904
mths_since_recent_bc,0.003692480587572845,0.003692480587572845
pub_rec_bankruptcies,0.00352569780061443,0.00352569780061443
tot_hi_cred_lim,0.0034510005565664996,0.0034510005565664996
total_acc,-0.0032919559084204223,0.0032919559084204223
mths_since_recent_inq,0.0029726526198424518,0.0029726526198424518
num_op_rev_tl,-0.002901298883885529,0.002901298883885529
num_actv_rev_tl,0.002775570207738791,0.002775570207738791
loan_amnt,0.0027427031509683073,0.0027427031509683073
num_rev_accts,0.0026865919604589783,0.0026865919604589783
mo_sin_rcnt_tl,0.0026257100369725906,0.0026257100369725906
annual_inc,0.0021156451999761704,0.0021156451999761704
open_acc,-0.002062315933600671,0.002062315933600671
num_accts_ever_120_pd,0.0016956217929490667,0.0016956217929490667
collections_12_mths_ex_med,0.0016419930393000478,0.0016419930393000478
pct_tl_nvr_dlq,0.0014978720367907596,0.0014978720367907596
mo_sin_old_il_acct,0.0012444877458293595,0.0012444877458293595
total_rev_hi_lim,0.001031735818427547,0.001031735818427547
bc_open_to_buy,-0.0009161020681788384,0.0009161020681788384
mort_acc,-0.0007543788746438276,0.0007543788746438276
num_actv_bc_tl,0.0005441344682628991,0.0005441344682628991
num_bc_sats,0.0005395255530487138,0.0005395255530487138
revol_util,-0.00048586145932860215,0.00048586145932860215
avg_cur_bal,0.0003559377783234812,0.0003559377783234812
revol_bal,0.00027226074320880843,0.00027226074320880843
mo_sin_rcnt_rev_tl_op,0.00024823996864700747,0.00024823996864700747
initial_list_status,0.0002481260558341489,0.0002481260558341489
bc_util,0.00020144337748961814,0.00020144337748961814
earliest_cr_line_year,-4.064952138222722e-05,4.064952138222722e-05
emp_title,-2.480417235666693e-05,2.480417235666693e-05
