feature,importance_mean,abs_importance_mean
sub_grade,0.06605768206992295,0.06605768206992295
issue_year,0.05303745109084916,0.05303745109084916
title,0.020484452199351445,0.020484452199351445
purpose,0.019926365551900305,0.019926365551900305
total_il_high_credit_limit,0.007532849344045323,0.007532849344045323
earliest_cr_line_year,0.007507059796615856,0.007507059796615856
acc_open_past_24mths,0.007159872446731508,0.007159872446731508
mo_sin_old_rev_tl_op,0.006892243408674115,0.006892243408674115
num_op_rev_tl,0.004923100640882106,0.004923100640882106
issue_month,0.004196108371342167,0.004196108371342167
total_bal_ex_mort,0.003327210032222805,0.003327210032222805
total_bc_limit,0.0029722025705248177,0.0029722025705248177
home_ownership,0.002695215586394384,0.002695215586394384
num_bc_sats,0.0024073548046472217,0.0024073548046472217
pub_rec,0.0023195826036823907,0.0023195826036823907
loan_amnt,0.002123363936458045,0.002123363936458045
percent_bc_gt_75,0.002003222665975657,0.002003222665975657
delinq_2yrs,0.0017987795961411424,0.0017987795961411424
tot_hi_cred_lim,0.0017700625245752333,0.0017700625245752333
num_actv_rev_tl,0.0014837023020489505,0.0014837023020489505
mths_since_recent_inq,0.0013684631769457002,0.0013684631769457002
verification_status,0.0012176521963693787,0.0012176521963693787
dti,0.0009330114044412196,0.0009330114044412196
total_rev_hi_lim,0.0009287792539754535,0.0009287792539754535
mo_sin_old_il_acct,0.0007757623557670401,0.0007757623557670401
initial_list_status,-0.000695271212220705,0.000695271212220705
mths_since_recent_bc,0.0006038995806653347,0.0006038995806653347
pub_rec_bankruptcies,0.0005742429869882715,0.0005742429869882715
mort_acc,0.0005433744766918603,0.0005433744766918603
num_il_tl,0.0004953326873600395,0.0004953326873600395
tax_liens,0.00042571056257969533,0.00042571056257969533
pct_tl_nvr_dlq,0.00041854706489656833,0.00041854706489656833
num_actv_bc_tl,0.00041096398409363745,0.00041096398409363745
emp_length,0.0003867581478926629,0.0003867581478926629
num_tl_90g_dpd_24m,0.00028466564195350763,0.00028466564195350763
avg_cur_bal,0.0002721966638649542,0.0002721966638649542
bc_util,0.00022174537784744875,0.00022174537784744875
total_acc,0.00020883483392435397,0.00020883483392435397
annual_inc,0.00017851780303599352,0.00017851780303599352
emp_title,0.000160810248456289,0.000160810248456289
open_acc,-0.00013161146870726003,0.00013161146870726003
num_rev_accts,0.00010682643576267469,0.00010682643576267469
earliest_cr_line_month,-0.00010133649170844804,0.00010133649170844804
term_in_months,9.892699502207502e-05,9.892699502207502e-05
bc_open_to_buy,9.714543936083509e-05,9.714543936083509e-05
num_tl_op_past_12m,7.912152484335078e-05,7.912152484335078e-05
delinq_amnt,-4.791276035427394e-05,4.791276035427394e-05
collections_12_mths_ex_med,3.984701559789361e-05,3.984701559789361e-05
revol_util,3.2341352181552985e-05,3.2341352181552985e-05
inq_last_6mths,3.065346200032959e-05,3.065346200032959e-05
num_accts_ever_120_pd,-2.680935423768904e-05,2.680935423768904e-05
num_bc_tl,1.7170411724709566e-05,1.7170411724709566e-05
mo_sin_rcnt_rev_tl_op,-5.741311618723266e-06,5.741311618723266e-06
revol_bal,-4.616370088061928e-06,4.616370088061928e-06
num_tl_30dpd,-2.084534816182426e-06,2.084534816182426e-06
mo_sin_rcnt_tl,-1.752882555128288e-06,1.752882555128288e-06
