feature,shap_value_mean,abs_shap_value_mean
sub_grade,0.170436789489981,0.170436789489981
issue_year,0.1504573362232937,0.1504573362232937
title,0.138059052505861,0.138059052505861
purpose,0.09226343610386165,0.09226343610386165
acc_open_past_24mths,0.06266225063033574,0.06266225063033574
earliest_cr_line_year,0.058783319325872524,0.058783319325872524
mo_sin_old_rev_tl_op,0.055310766576724034,0.055310766576724034
total_il_high_credit_limit,0.050085858362454105,0.050085858362454105
issue_month,0.049763170699340914,0.049763170699340914
num_op_rev_tl,0.0449409032600522,0.0449409032600522
home_ownership,0.04475215641173089,0.04475215641173089
verification_status,0.041532976511699925,0.041532976511699925
total_bal_ex_mort,0.04051415490777194,0.04051415490777194
percent_bc_gt_75,0.03481886141460609,0.03481886141460609
total_bc_limit,0.03473678506657231,0.03473678506657231
loan_amnt,0.03283392312115717,0.03283392312115717
mths_since_recent_inq,0.029365086035298804,0.029365086035298804
num_actv_rev_tl,0.02928727827663998,0.02928727827663998
num_bc_sats,0.028822953067633925,0.028822953067633925
pub_rec,0.02724293360463574,0.02724293360463574
initial_list_status,0.02638386340514001,0.02638386340514001
dti,0.024716415269606766,0.024716415269606766
delinq_2yrs,0.02282815057283143,0.02282815057283143
tot_hi_cred_lim,0.02206071128411554,0.02206071128411554
total_rev_hi_lim,0.018643318441190784,0.018643318441190784
mo_sin_old_il_acct,0.01646826204273013,0.01646826204273013
mort_acc,0.014693435661520768,0.014693435661520768
num_actv_bc_tl,0.01447257486619189,0.01447257486619189
emp_length,0.013711660105277128,0.013711660105277128
term_in_months,0.013421595081169553,0.013421595081169553
mths_since_recent_bc,0.013161498650860354,0.013161498650860354
total_acc,0.012785973371079755,0.012785973371079755
pub_rec_bankruptcies,0.010826580262750476,0.010826580262750476
earliest_cr_line_month,0.010771309771309773,0.010771309771309773
num_il_tl,0.010610518865838015,0.010610518865838015
open_acc,0.009955367806431638,0.009955367806431638
bc_util,0.009469522714203569,0.009469522714203569
annual_inc,0.008882226743928873,0.008882226743928873
pct_tl_nvr_dlq,0.00804770646260008,0.00804770646260008
mo_sin_rcnt_tl,0.007668155880921839,0.007668155880921839
num_rev_accts,0.007495355420887337,0.007495355420887337
avg_cur_bal,0.006596120670588758,0.006596120670588758
bc_open_to_buy,0.005681094351307117,0.005681094351307117
emp_title,0.0043701729552793386,0.0043701729552793386
num_tl_90g_dpd_24m,0.0038617242447029692,0.0038617242447029692
inq_last_6mths,0.0034295793338346534,0.0034295793338346534
collections_12_mths_ex_med,0.0032985137346839477,0.0032985137346839477
tax_liens,0.003249834122174548,0.003249834122174548
revol_util,0.002780687397708675,0.002780687397708675
num_accts_ever_120_pd,0.002605940637855532,0.002605940637855532
num_tl_op_past_12m,0.002271354005396559,0.002271354005396559
revol_bal,0.0005446321935683639,0.0005446321935683639
num_bc_tl,0.0005418675631441589,0.0005418675631441589
mo_sin_rcnt_rev_tl_op,0.00018268677843145928,0.00018268677843145928
num_tl_30dpd,0.00011304020878488965,0.00011304020878488965
delinq_amnt,9.665147963020303e-05,9.665147963020303e-05
