feature,average_contribution,abs_average_contribution
purpose,-0.4435476183798479,0.4435476183798479
sub_grade,0.06610384429011532,0.06610384429011532
issue_month,0.04758803561047794,0.04758803561047794
acc_open_past_24mths,0.03989476272381143,0.03989476272381143
home_ownership,-0.03593950466043386,0.03593950466043386
issue_year,0.03453646040004025,0.03453646040004025
delinq_amnt,0.030980557291130133,0.030980557291130133
pub_rec,0.026357087461103112,0.026357087461103112
earliest_cr_line_month,0.026210931604643772,0.026210931604643772
tax_liens,-0.024951795174815532,0.024951795174815532
total_il_high_credit_limit,0.021189800550059642,0.021189800550059642
verification_status,0.020796845984316765,0.020796845984316765
title,0.01966029628428052,0.01966029628428052
num_op_rev_tl,0.01568646782759476,0.01568646782759476
total_bc_limit,-0.014064194428925375,0.014064194428925375
collections_12_mths_ex_med,0.013542791605773707,0.013542791605773707
total_bal_ex_mort,-0.01234606688733198,0.01234606688733198
num_tl_90g_dpd_24m,-0.010595677920727442,0.010595677920727442
pub_rec_bankruptcies,-0.010173989090619555,0.010173989090619555
term_in_months,0.008539054711429152,0.008539054711429152
mo_sin_old_rev_tl_op,0.008002832617805749,0.008002832617805749
emp_length,0.007736061321457129,0.007736061321457129
total_acc,-0.007675657428223505,0.007675657428223505
delinq_2yrs,0.00748785944104908,0.00748785944104908
num_bc_sats,0.007474500866754675,0.007474500866754675
dti,0.007356257272695034,0.007356257272695034
percent_bc_gt_75,-0.007258530954682615,0.007258530954682615
num_il_tl,0.0070994819615977575,0.0070994819615977575
mths_since_recent_bc,0.0063366340558362825,0.0063366340558362825
open_acc,-0.006322270666802743,0.006322270666802743
num_actv_bc_tl,-0.005663486759349382,0.005663486759349382
mo_sin_rcnt_tl,0.00541961521239488,0.00541961521239488
mths_since_recent_inq,0.004880223652031682,0.004880223652031682
initial_list_status,0.004233966965220935,0.004233966965220935
tot_hi_cred_lim,0.003409013895178273,0.003409013895178273
loan_amnt,0.0027420425229325125,0.0027420425229325125
num_tl_op_past_12m,-0.002710325517802829,0.002710325517802829
bc_open_to_buy,-0.0026193186786633263,0.0026193186786633263
revol_util,-0.0023093458254986993,0.0023093458254986993
earliest_cr_line_year,-0.0022498768249562735,0.0022498768249562735
mo_sin_old_il_acct,0.002138001975908246,0.002138001975908246
num_accts_ever_120_pd,0.0018205706147122712,0.0018205706147122712
num_actv_rev_tl,0.0016573291455977842,0.0016573291455977842
emp_title,0.001630975628816084,0.001630975628816084
num_rev_accts,-0.0014632798133127514,0.0014632798133127514
pct_tl_nvr_dlq,0.0014295439574056733,0.0014295439574056733
inq_last_6mths,0.0011136107215637485,0.0011136107215637485
mo_sin_rcnt_rev_tl_op,0.0009070656399964282,0.0009070656399964282
mort_acc,-0.0008589222997950362,0.0008589222997950362
annual_inc,0.0008335307687567203,0.0008335307687567203
revol_bal,0.0008314156069155552,0.0008314156069155552
num_tl_30dpd,-0.0005547731644132755,0.0005547731644132755
avg_cur_bal,0.0005355788306242879,0.0005355788306242879
num_bc_tl,-0.00037183084330310304,0.00037183084330310304
total_rev_hi_lim,-0.00026096991730587064,0.00026096991730587064
bc_util,0.0001438152905628664,0.0001438152905628664
