feature,importance_mean,abs_importance_mean
issue_year,0.1264997946049831,0.1264997946049831
sub_grade,0.07106330821123216,0.07106330821123216
title,0.01356482597431694,0.01356482597431694
loan_amnt,0.004519994999410315,0.004519994999410315
acc_open_past_24mths,0.004331863103886713,0.004331863103886713
issue_month,0.0038683441835554613,0.0038683441835554613
purpose,0.003021332026349799,0.003021332026349799
dti,0.0025501487847477745,0.0025501487847477745
home_ownership,0.002491278118998497,0.002491278118998497
tot_hi_cred_lim,0.002104119981274599,0.002104119981274599
annual_inc,0.0018091602163328613,0.0018091602163328613
mo_sin_old_rev_tl_op,0.0015706850368248926,0.0015706850368248926
avg_cur_bal,0.0010918828730376528,0.0010918828730376528
term_in_months,0.001085484469403264,0.001085484469403264
total_bc_limit,0.000883160342112288,0.000883160342112288
mths_since_recent_bc,0.0008400766107165448,0.0008400766107165448
total_il_high_credit_limit,0.00081902959504212,0.00081902959504212
mths_since_recent_inq,0.0007300942217383533,0.0007300942217383533
verification_status,0.00045188337386126154,0.00045188337386126154
total_rev_hi_lim,0.00044445321629105194,0.00044445321629105194
bc_util,0.0004438190627602978,0.0004438190627602978
emp_title,0.0004364601100703247,0.0004364601100703247
num_bc_tl,0.000427325336340334,0.000427325336340334
mort_acc,0.00039881184382792865,0.00039881184382792865
bc_open_to_buy,0.0003910070243376085,0.0003910070243376085
mo_sin_old_il_acct,0.00038121850378760593,0.00038121850378760593
num_actv_bc_tl,0.0003325000291510394,0.0003325000291510394
delinq_2yrs,0.00031827912427744297,0.00031827912427744297
revol_bal,0.0002939638523886456,0.0002939638523886456
revol_util,0.00024255010577516333,0.00024255010577516333
num_tl_90g_dpd_24m,0.0002123367759539585,0.0002123367759539585
mo_sin_rcnt_tl,0.0002068726376944774,0.0002068726376944774
inq_last_6mths,0.00018755938917107694,0.00018755938917107694
num_tl_op_past_12m,0.00018499888079306359,0.00018499888079306359
total_bal_ex_mort,0.0001769135427477586,0.0001769135427477586
mo_sin_rcnt_rev_tl_op,-0.00014626151440253477,0.00014626151440253477
num_actv_rev_tl,0.00012399398017699516,0.00012399398017699516
num_tl_30dpd,0.00010104450391039688,0.00010104450391039688
pct_tl_nvr_dlq,9.396415823508253e-05,9.396415823508253e-05
num_il_tl,9.363393962935618e-05,9.363393962935618e-05
num_bc_sats,8.597391932498865e-05,8.597391932498865e-05
percent_bc_gt_75,8.039747806654063e-05,8.039747806654063e-05
open_acc,6.481794584729527e-05,6.481794584729527e-05
earliest_cr_line_year,6.0018067879963335e-05,6.0018067879963335e-05
pub_rec,4.483565818063085e-05,4.483565818063085e-05
num_accts_ever_120_pd,-2.676538880825863e-05,2.676538880825863e-05
num_op_rev_tl,-2.415613614976664e-05,2.415613614976664e-05
emp_length,2.1510086339016078e-05,2.1510086339016078e-05
total_acc,2.0005226151531552e-05,2.0005226151531552e-05
tax_liens,1.7088215487270907e-05,1.7088215487270907e-05
num_rev_accts,1.0570340577276127e-05,1.0570340577276127e-05
initial_list_status,9.068347700824653e-06,9.068347700824653e-06
collections_12_mths_ex_med,5.358047766779173e-06,5.358047766779173e-06
pub_rec_bankruptcies,1.6912353769882316e-06,1.6912353769882316e-06
earliest_cr_line_month,-8.611489538790069e-07,8.611489538790069e-07
delinq_amnt,6.556583604044874e-07,6.556583604044874e-07
