feature,shap_value_mean,abs_shap_value_mean
title,1.1296586,1.129658579826355
issue_year,0.6921019,0.6921018958091736
sub_grade,0.40182686,0.4018268585205078
issue_month,0.12464024,0.12464024126529694
purpose,0.107224956,0.1072249561548233
acc_open_past_24mths,0.093884125,0.09388412535190582
loan_amnt,0.07703641,0.07703641057014465
dti,0.07332691,0.07332690805196762
home_ownership,0.07295353,0.07295352965593338
mths_since_recent_inq,0.061059937,0.06105993688106537
mo_sin_old_il_acct,0.046847813,0.046847812831401825
verification_status,0.044835187,0.04483518749475479
annual_inc,0.044364844,0.044364843517541885
tot_hi_cred_lim,0.0442198,0.04421979933977127
mo_sin_old_rev_tl_op,0.0437572,0.04375720024108887
total_il_high_credit_limit,0.042414866,0.042414866387844086
emp_title,0.036351837,0.03635183721780777
total_bc_limit,0.030640267,0.030640266835689545
avg_cur_bal,0.029681515,0.02968151494860649
term_in_months,0.029275667,0.029275666922330856
mths_since_recent_bc,0.023072455,0.02307245507836342
num_bc_tl,0.02127299,0.021272990852594376
num_tl_op_past_12m,0.020154841,0.020154841244220734
revol_util,0.019722851,0.019722850993275642
num_actv_rev_tl,0.017058766,0.01705876551568508
num_actv_bc_tl,0.015055579,0.015055579133331776
bc_util,0.014925621,0.014925621449947357
earliest_cr_line_year,0.014786771,0.014786770567297935
mort_acc,0.014257442,0.014257442206144333
inq_last_6mths,0.013146968,0.013146967627108097
bc_open_to_buy,0.012951518,0.012951518408954144
total_rev_hi_lim,0.012776309,0.012776308692991734
num_tl_30dpd,0.012746604,0.012746604159474373
delinq_2yrs,0.01270832,0.012708320282399654
mo_sin_rcnt_tl,0.011400407,0.011400407180190086
revol_bal,0.009454661,0.009454661048948765
pct_tl_nvr_dlq,0.008790772,0.008790772408246994
percent_bc_gt_75,0.0080466885,0.008046688511967659
earliest_cr_line_month,0.0072125224,0.007212522439658642
mo_sin_rcnt_rev_tl_op,0.00716997,0.007169969845563173
num_tl_90g_dpd_24m,0.0068694423,0.006869442295283079
emp_length,0.006746759,0.006746759172528982
num_il_tl,0.006595347,0.006595347076654434
total_bal_ex_mort,0.005294665,0.005294665228575468
num_bc_sats,0.0042238683,0.004223868250846863
num_rev_accts,0.0038760558,0.0038760558236390352
num_accts_ever_120_pd,0.0036078205,0.003607820486649871
total_acc,0.0033488965,0.003348896512761712
open_acc,0.0030804398,0.003080439753830433
num_op_rev_tl,0.0017720618,0.00177206180524081
pub_rec,0.0013385236,0.001338523579761386
collections_12_mths_ex_med,0.0004932985,0.0004932985175400972
tax_liens,0.0003174017,0.00031740168924443424
pub_rec_bankruptcies,0.00031503517,0.00031503516947850585
initial_list_status,0.00029656745,0.0002965674502775073
delinq_amnt,0.000117375144,0.00011737514432752505
