feature,shap_value,abs_shap_value
title,-1.3586899,1.3586899
sub_grade,-0.6025139,0.6025139
issue_year,-0.29829454,0.29829454
verification_status,-0.1313495,0.1313495
loan_amnt,-0.09911302,0.09911302
home_ownership,-0.09877202,0.09877202
mo_sin_old_il_acct,0.08526833,0.08526833
dti,-0.06476873,0.06476873
acc_open_past_24mths,0.053356595,0.053356595
total_il_high_credit_limit,-0.04671443,0.04671443
issue_month,0.04581165,0.04581165
mths_since_recent_inq,-0.04529737,0.04529737
total_bc_limit,0.04356153,0.04356153
purpose,-0.042865597,0.042865597
tot_hi_cred_lim,-0.038901847,0.038901847
emp_title,0.033426818,0.033426818
num_tl_op_past_12m,0.028220668,0.028220668
num_bc_tl,-0.027686846,0.027686846
avg_cur_bal,-0.018836942,0.018836942
annual_inc,-0.016101172,0.016101172
num_actv_bc_tl,-0.015170489,0.015170489
percent_bc_gt_75,0.014810364,0.014810364
term_in_months,-0.014549482,0.014549482
mo_sin_rcnt_tl,0.014347068,0.014347068
pct_tl_nvr_dlq,-0.013541861,0.013541861
mo_sin_old_rev_tl_op,0.013205068,0.013205068
num_actv_rev_tl,-0.012501054,0.012501054
num_tl_30dpd,-0.0124268755,0.0124268755
earliest_cr_line_year,-0.01105596,0.01105596
mths_since_recent_bc,0.0104399705,0.0104399705
revol_bal,-0.01006129,0.01006129
revol_util,0.009267695,0.009267695
total_rev_hi_lim,0.008259585,0.008259585
inq_last_6mths,-0.0076894443,0.0076894443
bc_util,0.0068323873,0.0068323873
num_accts_ever_120_pd,0.0066191955,0.0066191955
earliest_cr_line_month,-0.00620437,0.00620437
mort_acc,0.006167451,0.006167451
bc_open_to_buy,0.0055161617,0.0055161617
num_tl_90g_dpd_24m,-0.0039208024,0.0039208024
total_bal_ex_mort,-0.0033624908,0.0033624908
num_bc_sats,-0.0032288216,0.0032288216
num_il_tl,-0.0029352691,0.0029352691
delinq_2yrs,-0.0018784661,0.0018784661
num_rev_accts,0.0015744094,0.0015744094
num_op_rev_tl,0.0009480776,0.0009480776
pub_rec,-0.0002450643,0.0002450643
initial_list_status,0.00021838864,0.00021838864
tax_liens,-0.00020321592,0.00020321592
open_acc,0.00019698031,0.00019698031
delinq_amnt,-0.00015772115,0.00015772115
total_acc,-0.00015727877,0.00015727877
emp_length,-0.00014937008,0.00014937008
collections_12_mths_ex_med,-0.00010883712,0.00010883712
mo_sin_rcnt_rev_tl_op,-9.910148e-05,9.910148e-05
pub_rec_bankruptcies,-5.8239653e-05,5.8239653e-05
