feature,average_contribution,abs_average_contribution
purpose,0.09587826311648574,0.09587826311648574
num_tl_30dpd,0.09022631804914648,0.09022631804914648
sub_grade,0.06379278936963043,0.06379278936963043
issue_month,-0.062086101844470706,0.062086101844470706
issue_year,-0.05023488215199352,0.05023488215199352
title,0.0309047207866374,0.0309047207866374
collections_12_mths_ex_med,-0.026514352642355726,0.026514352642355726
home_ownership,0.02536213148195317,0.02536213148195317
num_tl_90g_dpd_24m,0.02398495172683197,0.02398495172683197
annual_inc,0.01548087025389101,0.01548087025389101
delinq_amnt,0.015066501361865834,0.015066501361865834
earliest_cr_line_month,-0.013839043585974611,0.013839043585974611
verification_status,0.013347748552541856,0.013347748552541856
emp_length,-0.012018174216130991,0.012018174216130991
loan_amnt,-0.011712728220470463,0.011712728220470463
tot_hi_cred_lim,0.00949133443238816,0.00949133443238816
mo_sin_old_rev_tl_op,0.0073749798531347,0.0073749798531347
mths_since_recent_bc,0.007277661255289905,0.007277661255289905
delinq_2yrs,0.007193352577226328,0.007193352577226328
acc_open_past_24mths,0.0068504915851138395,0.0068504915851138395
term_in_months,0.006331535517950061,0.006331535517950061
percent_bc_gt_75,0.0061278758511019785,0.0061278758511019785
pub_rec_bankruptcies,-0.005959868193115064,0.005959868193115064
inq_last_6mths,0.0056185123593588595,0.0056185123593588595
tax_liens,-0.005575023793506611,0.005575023793506611
num_op_rev_tl,0.004978258121426127,0.004978258121426127
num_actv_bc_tl,-0.004849281829228792,0.004849281829228792
num_rev_accts,0.00452154464696235,0.00452154464696235
total_acc,-0.004510461169817697,0.004510461169817697
avg_cur_bal,0.003880664547752791,0.003880664547752791
mths_since_recent_inq,0.0037706404654366935,0.0037706404654366935
bc_util,-0.0036682963381930375,0.0036682963381930375
initial_list_status,-0.0035983543143740704,0.0035983543143740704
num_tl_op_past_12m,0.003328313196655446,0.003328313196655446
total_il_high_credit_limit,0.0032173096364634087,0.0032173096364634087
mort_acc,0.003042276308945277,0.003042276308945277
earliest_cr_line_year,-0.0026351206957202647,0.0026351206957202647
revol_util,-0.002634206563783883,0.002634206563783883
num_bc_sats,-0.0025467163943797685,0.0025467163943797685
emp_title,0.0024291594746495074,0.0024291594746495074
bc_open_to_buy,-0.0021682781781221633,0.0021682781781221633
total_rev_hi_lim,-0.0021548928636460083,0.0021548928636460083
num_il_tl,-0.002042027683022413,0.002042027683022413
pct_tl_nvr_dlq,-0.0019799083344056554,0.0019799083344056554
mo_sin_rcnt_rev_tl_op,0.0017365512171958562,0.0017365512171958562
num_accts_ever_120_pd,0.0014027723845790408,0.0014027723845790408
total_bc_limit,-0.0011370950389737147,0.0011370950389737147
num_bc_tl,-0.0010749441917428278,0.0010749441917428278
num_actv_rev_tl,0.0010348152249677982,0.0010348152249677982
open_acc,-0.000971657225580862,0.000971657225580862
mo_sin_old_il_acct,-0.0009263334353379315,0.0009263334353379315
total_bal_ex_mort,0.0008829939448587154,0.0008829939448587154
dti,0.0007861113444832983,0.0007861113444832983
revol_bal,0.0004870714414689035,0.0004870714414689035
pub_rec,-0.0003926761194422819,0.0003926761194422819
mo_sin_rcnt_tl,0.0003598281662910605,0.0003598281662910605
