feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
emp_length,2.0655,2.0655,11.2896,11.2896,9.2241,9.2241
num_actv_rev_tl,-0.2203,0.2203,2.543,2.543,2.7633,2.7633
acc_open_past_24mths,0.4044,0.4044,2.9451,2.9451,2.5406,2.5406
sub_grade,-1.0895,1.0895,1.4021,1.4021,2.4916,2.4916
open_acc,-0.4757,0.4757,-2.9487,2.9487,-2.473,2.473
earliest_cr_line_month,-0.279,0.279,2.1556,2.1556,2.4346,2.4346
issue_month,0.0516,0.0516,-2.2919,2.2919,-2.3435,2.3435
num_tl_op_past_12m,0.9882,0.9882,3.3226,3.3226,2.3344,2.3344
pub_rec,-0.3418,0.3418,1.7937,1.7937,2.1356,2.1356
num_accts_ever_120_pd,0.3683,0.3683,-1.5734,1.5734,-1.9417,1.9417
