feature,importance_mean,abs_importance_mean
issue_year,0.07032817039012436,0.07032817039012436
sub_grade,0.046269617422390975,0.046269617422390975
acc_open_past_24mths,0.005002200183010852,0.005002200183010852
purpose,0.0047218173473432936,0.0047218173473432936
home_ownership,0.0038753442445331964,0.0038753442445331964
term_in_months,0.0035127302856624797,0.0035127302856624797
earliest_cr_line_year,0.0032114471450474637,0.0032114471450474637
mo_sin_old_rev_tl_op,0.0030823765914290034,0.0030823765914290034
issue_month,0.0030778988080201854,0.0030778988080201854
tot_hi_cred_lim,0.00234411579117797,0.00234411579117797
