feature,shap_value_mean,abs_shap_value_mean
issue_year,0.06722391294731721,0.06722391294731721
sub_grade,0.05026821338523467,0.05026821338523467
home_ownership,0.018850333967355245,0.018850333967355245
issue_month,0.01701386738620781,0.01701386738620781
acc_open_past_24mths,0.016671628256734638,0.016671628256734638
term_in_months,0.015593643561728671,0.015593643561728671
verification_status,0.015588645109921707,0.015588645109921707
title,0.012714955544742782,0.012714955544742782
earliest_cr_line_year,0.012451408855664176,0.012451408855664176
mo_sin_old_rev_tl_op,0.012141991418587164,0.012141991418587164
