feature,shap_value,abs_shap_value
sub_grade,-0.06857752444869593,0.06857752444869593
issue_year,-0.04620820694305971,0.04620820694305971
verification_status,-0.025776078239572214,0.025776078239572214
home_ownership,-0.01667977999914874,0.01667977999914874
percent_bc_gt_75,0.014048418348625413,0.014048418348625413
title,-0.013146950492305099,0.013146950492305099
total_bc_limit,0.012093302658642191,0.012093302658642191
issue_month,0.0116884564499172,0.0116884564499172
earliest_cr_line_year,-0.01128938199777758,0.01128938199777758
emp_title,0.011178322057319643,0.011178322057319643
