feature,average_contribution,abs_average_contribution
purpose,-0.2579951140533708,0.2579951140533708
home_ownership,-0.12125011129751373,0.12125011129751373
sub_grade,0.04760324585982375,0.04760324585982375
acc_open_past_24mths,0.030742767552986126,0.030742767552986126
issue_year,0.029873038656780603,0.029873038656780603
verification_status,0.02478811270121403,0.02478811270121403
emp_length,-0.022243764832039,0.022243764832039
tax_liens,0.01887399641110348,0.01887399641110348
term_in_months,0.017224049482252618,0.017224049482252618
delinq_amnt,-0.017065054580107857,0.017065054580107857
