feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
sub_grade,-1.0895,1.0895,0.1554,0.1554,1.2449,1.2449
emp_length,2.0655,2.0655,0.8923,0.8923,-1.1733,1.1733
pct_tl_nvr_dlq,-2.9146,2.9146,-3.9158,3.9158,-1.0012,1.0012
dti,-0.3241,0.3241,0.5776,0.5776,0.9017,0.9017
initial_list_status,0.0,0.0,0.8658,0.8658,0.8658,0.8658
issue_year,0.7428,0.7428,-0.1127,0.1127,-0.8555,0.8555
mo_sin_rcnt_tl,-0.3376,0.3376,-1.0523,1.0523,-0.7147,0.7147
inq_last_6mths,-0.6769,0.6769,0.0351,0.0351,0.712,0.712
mo_sin_old_rev_tl_op,-0.4165,0.4165,-1.0651,1.0651,-0.6487,0.6487
issue_month,0.0516,0.0516,-0.5532,0.5532,-0.6048,0.6048
