feature,contribution,abs_contribution
purpose,0.5807568035047623,0.5807568035047623
sub_grade,-0.07467080271673247,0.07467080271673247
title,-0.04583521070745814,0.04583521070745814
issue_year,-0.04316616603080698,0.04316616603080698
tax_liens,0.024087393047523015,0.024087393047523015
delinq_amnt,-0.02344423590616205,0.02344423590616205
pub_rec <= -0.34,-0.0226550830211952,0.0226550830211952
earliest_cr_line_month,-0.02115265378223774,0.02115265378223774
percent_bc_gt_75,0.017974075013195066,0.017974075013195066
mths_since_recent_inq,-0.017970280368301634,0.017970280368301634
