feature,importance_mean,abs_importance_mean
sub_grade,0.06605768206992295,0.06605768206992295
issue_year,0.05303745109084916,0.05303745109084916
title,0.020484452199351445,0.020484452199351445
purpose,0.019926365551900305,0.019926365551900305
total_il_high_credit_limit,0.007532849344045323,0.007532849344045323
earliest_cr_line_year,0.007507059796615856,0.007507059796615856
acc_open_past_24mths,0.007159872446731508,0.007159872446731508
mo_sin_old_rev_tl_op,0.006892243408674115,0.006892243408674115
num_op_rev_tl,0.004923100640882106,0.004923100640882106
issue_month,0.004196108371342167,0.004196108371342167
