feature,shap_value_mean,abs_shap_value_mean
sub_grade,0.170436789489981,0.170436789489981
issue_year,0.1504573362232937,0.1504573362232937
title,0.138059052505861,0.138059052505861
purpose,0.09226343610386165,0.09226343610386165
acc_open_past_24mths,0.06266225063033574,0.06266225063033574
earliest_cr_line_year,0.058783319325872524,0.058783319325872524
mo_sin_old_rev_tl_op,0.055310766576724034,0.055310766576724034
total_il_high_credit_limit,0.050085858362454105,0.050085858362454105
issue_month,0.049763170699340914,0.049763170699340914
num_op_rev_tl,0.0449409032600522,0.0449409032600522
