feature,shap_value,abs_shap_value
sub_grade,-0.2494986220788903,0.2494986220788903
title,-0.15605988176609636,0.15605988176609636
issue_year,-0.12303528977332534,0.12303528977332534
purpose,0.09090445233450689,0.09090445233450689
verification_status,-0.07199481592338333,0.07199481592338333
percent_bc_gt_75,0.06523850769636658,0.06523850769636658
earliest_cr_line_year,-0.05668757846670479,0.05668757846670479
total_bal_ex_mort,-0.0547889069327858,0.0547889069327858
issue_month,0.04750198511348404,0.04750198511348404
home_ownership,-0.04680011660704199,0.04680011660704199
