feature,average_contribution,abs_average_contribution
purpose,-0.4435476183798479,0.4435476183798479
sub_grade,0.06610384429011532,0.06610384429011532
issue_month,0.04758803561047794,0.04758803561047794
acc_open_past_24mths,0.03989476272381143,0.03989476272381143
home_ownership,-0.03593950466043386,0.03593950466043386
issue_year,0.03453646040004025,0.03453646040004025
delinq_amnt,0.030980557291130133,0.030980557291130133
pub_rec,0.026357087461103112,0.026357087461103112
earliest_cr_line_month,0.026210931604643772,0.026210931604643772
tax_liens,-0.024951795174815532,0.024951795174815532
