feature,Original,abs_Original,Counterfactual_1,abs_Counterfactual_1,delta,abs_delta
earliest_cr_line_month,-0.2709,0.2709,-0.6772,0.6772,-0.4063,0.4063
open_acc,-0.4664,0.4664,-0.7632,0.7632,-0.2968,0.2968
earliest_cr_line_year,0.7074,0.7074,0.4337,0.4337,-0.2737,0.2737
home_ownership,-0.1845,0.1845,-0.4357,0.4357,-0.2512,0.2512
num_bc_tl,-0.5952,0.5952,-0.3509,0.3509,0.2442,0.2442
purpose,-0.6169,0.6169,-0.8437,0.8437,-0.2268,0.2268
mort_acc,-0.2921,0.2921,-0.4966,0.4966,-0.2045,0.2045
total_bc_limit,-0.8258,0.8258,-0.6384,0.6384,0.1874,0.1874
num_tl_op_past_12m,1.0549,1.0549,0.8699,0.8699,-0.185,0.185
pub_rec_bankruptcies,-0.3535,0.3535,-0.5292,0.5292,-0.1757,0.1757
