feature,contribution,abs_contribution
sub_grade,-0.15367611541669224,0.15367611541669224
num_tl_30dpd,-0.13350270577195392,0.13350270577195392
purpose,-0.1005198765502761,0.1005198765502761
issue_month,0.07640461498293774,0.07640461498293774
delinq_amnt,0.029491985286348825,0.029491985286348825
loan_amnt,-0.029289153879308867,0.029289153879308867
dti,-0.029054257889779354,0.029054257889779354
earliest_cr_line_month,-0.02838034328691554,0.02838034328691554
acc_open_past_24mths,0.028125802574426883,0.028125802574426883
total_bc_limit,0.024411586386503745,0.024411586386503745
