feature,importance_mean,abs_importance_mean
issue_year,0.1264997946049831,0.1264997946049831
sub_grade,0.07106330821123216,0.07106330821123216
title,0.01356482597431694,0.01356482597431694
loan_amnt,0.004519994999410315,0.004519994999410315
acc_open_past_24mths,0.004331863103886713,0.004331863103886713
issue_month,0.0038683441835554613,0.0038683441835554613
purpose,0.003021332026349799,0.003021332026349799
dti,0.0025501487847477745,0.0025501487847477745
home_ownership,0.002491278118998497,0.002491278118998497
tot_hi_cred_lim,0.002104119981274599,0.002104119981274599
