feature,average_contribution,abs_average_contribution
purpose,0.09587826311648574,0.09587826311648574
num_tl_30dpd,0.09022631804914648,0.09022631804914648
sub_grade,0.06379278936963043,0.06379278936963043
issue_month,-0.062086101844470706,0.062086101844470706
issue_year,-0.05023488215199352,0.05023488215199352
title,0.0309047207866374,0.0309047207866374
collections_12_mths_ex_med,-0.026514352642355726,0.026514352642355726
home_ownership,0.02536213148195317,0.02536213148195317
num_tl_90g_dpd_24m,0.02398495172683197,0.02398495172683197
annual_inc,0.01548087025389101,0.01548087025389101
