id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,year_issued,default_status
,,500,500,375.0, 36 months,8.38,A,A5,us army,2 years,RENT,33000.0,Not Verified,Sep-2007,,I am needing to get a personal loan for $2500 to pay off a gas bill that is $2300. ,other,Paying bills.,664xx,KS,2.15,0.0,Apr-1990,10.0,0.0,0.0,6.0,0.0,3461,18.6,6.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,6000,6000,1200.0, 36 months,13.12,D,D5,SUNY- ESF,2 years,RENT,12000.0,Not Verified,Jul-2007,,,credit_card,Credit Card,132xx,NY,4.4,0.0,Dec-2004,9.0,0.0,0.0,15.0,0.0,5251,49.3,16.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,14700,8000,2399.994669572058, 36 months,14.38,E,E4,Labcorp,10+ years,MORTGAGE,59000.0,Not Verified,Nov-2007,,I will use this loan to consolidate credit cards used to finance a small business and living expenses. Some have intro offers that will expire soon.This loan will be used to reduce the time it will take to repay outstanding debt to 24-36 months instead of 48-60 months.,credit_card,consolidation,272xx,NC,23.86,0.0,Dec-1987,4.0,63.0,0.0,18.0,0.0,14301,60.2,50.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5000,5000,1767.09, 36 months,13.43,E,E1,Ray Catena of Union LLC,3 years,MORTGAGE,98000.0,Not Verified,Nov-2007,,Refinancing high interest debt,credit_card,Refinancing Debt,103xx,NY,12.53,0.0,Jan-2000,1.0,63.0,31.0,7.0,3.0,9568,97.1,12.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,3750,3750,250.0, 36 months,15.65,F,F3,Private family,5 years,MORTGAGE,7280.0,Not Verified,Aug-2007,,"I have the degree, now I need the job. I am requesting a small loan so I can relocate to Chicago. The loan will cover moving expenses (I live in Florida), obtaining an apartment, and provide a financial security net while I get established. I plan to continue working as a nanny (as I have for 6 years) until I can find more lucrative employment.",moving,Recent grad needs to move to Chicago!,606xx,IL,17.31,0.0,Jan-1998,1.0,70.0,0.0,1.0,0.0,0,,4.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,9000,9000,2600.001368298364, 36 months,9.33,B,B3,Merlot,< 1 year,MORTGAGE,15000.0,Not Verified,Nov-2007,,"If I receive the loan amount I requested, I plan on using some of the money to help out with my credit card payments, auto loan, car insurance, and school loan. I also would like to use some of the money to purchase a new computer, scanner, digital camera and a large photo printer. I went to Umass to become a fine artist and if I receive this loan I will be able to finance my art work. Photography is very expensive and It would be really great to be able to produce the art work I've always dreamed about. Also, I wanted to purchase some screen printing equipment and start producing my own t-shirt designs and hopefully start a clothing line. Hopefully I can receive this loan and follow my dreams in becoming a famous artist / designer.  This loan will allow me to provide for my future and family. Thank you for your time and consideration, Joshua D Costa.",other,Multi purpose loan.,027xx,MA,13.36,0.0,Nov-1998,0.0,0.0,0.0,4.0,0.0,2588,103.5,7.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,15000,15000,1999.13, 36 months,8.38,A,A5,Newell Rubbermaid Co.,2 years,RENT,77000.0,Not Verified,Dec-2007,,Personal loan to furnish home with new furniture and new appliances after ex-wife took everything. ,major_purchase,Empty Home,282xx,NC,7.96,0.0,Sep-1991,0.0,0.0,0.0,7.0,0.0,0,0.0,30.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,1275,1275,0.0, 36 months,12.49,D,D3,Infinitely law group,1 year,RENT,40000.0,Not Verified,Jun-2007,,,other,Credit card debt,021xx,MA,10.0,,,,,,,,0,,,f,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,10000,10000,350.0, 36 months,9.01,B,B2,Times Herald Record,1 year,RENT,24000.0,Not Verified,Dec-2007,,need to furnish apartment and take care of expenses for christmas.,other,Personal loan,109xx,NY,5.0,0.0,Jun-2002,4.0,0.0,0.0,13.0,0.0,4698,27.6,15.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,12000,12000,1900.0, 36 months,11.86,D,D1,Wyndham Worldwide,2 years,MORTGAGE,150000.0,Not Verified,Dec-2007,,"Consolidating high interest cards of wife's and my own and looking to pay them off faster, by not accumulating the high interest expense each month.  Excellent income for both of us and we have never missed or been late on payments.  March 2008 bonus and tax refund to pay off remaining balances on other cards and free up additional cash flow for this loan. ",debt_consolidation,"Out With Old, In With New Lower Interest",079xx,NJ,20.48,0.0,Sep-1995,1.0,0.0,0.0,16.0,0.0,66654,51.6,34.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
