loan_amnt,term,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,tot_coll_amt,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year_issued,default_status
500, 36 months,A5,us army,2 years,RENT,33000.0,Not Verified,Sep-2007,other,Paying bills.,664xx,KS,2.15,0.0,Apr-1990,10.0,6.0,0.0,3461,18.6,6.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
6000, 36 months,D5,SUNY- ESF,2 years,RENT,12000.0,Not Verified,Jul-2007,credit_card,Credit Card,132xx,NY,4.4,0.0,Dec-2004,9.0,15.0,0.0,5251,49.3,16.0,f,,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
14700, 36 months,E4,Labcorp,10+ years,MORTGAGE,59000.0,Not Verified,Nov-2007,credit_card,consolidation,272xx,NC,23.86,0.0,Dec-1987,4.0,18.0,0.0,14301,60.2,50.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
5000, 36 months,E1,Ray Catena of Union LLC,3 years,MORTGAGE,98000.0,Not Verified,Nov-2007,credit_card,Refinancing Debt,103xx,NY,12.53,0.0,Jan-2000,1.0,7.0,3.0,9568,97.1,12.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
3750, 36 months,F3,Private family,5 years,MORTGAGE,7280.0,Not Verified,Aug-2007,moving,Recent grad needs to move to Chicago!,606xx,IL,17.31,0.0,Jan-1998,1.0,1.0,0.0,0,,4.0,f,,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
9000, 36 months,B3,Merlot,< 1 year,MORTGAGE,15000.0,Not Verified,Nov-2007,other,Multi purpose loan.,027xx,MA,13.36,0.0,Nov-1998,0.0,4.0,0.0,2588,103.5,7.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
15000, 36 months,A5,Newell Rubbermaid Co.,2 years,RENT,77000.0,Not Verified,Dec-2007,major_purchase,Empty Home,282xx,NC,7.96,0.0,Sep-1991,0.0,7.0,0.0,0,0.0,30.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
1275, 36 months,D3,Infinitely law group,1 year,RENT,40000.0,Not Verified,Jun-2007,other,Credit card debt,021xx,MA,10.0,,,,,,0,,,f,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
10000, 36 months,B2,Times Herald Record,1 year,RENT,24000.0,Not Verified,Dec-2007,other,Personal loan,109xx,NY,5.0,0.0,Jun-2002,4.0,13.0,0.0,4698,27.6,15.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
12000, 36 months,D1,Wyndham Worldwide,2 years,MORTGAGE,150000.0,Not Verified,Dec-2007,debt_consolidation,"Out With Old, In With New Lower Interest",079xx,NJ,20.48,0.0,Sep-1995,1.0,16.0,0.0,66654,51.6,34.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
8600, 36 months,F5,Miami Dade College,4 years,RENT,56000.0,Not Verified,Sep-2007,debt_consolidation,Help with Emergency Debt,331xx,FL,11.38,2.0,Oct-2000,4.0,4.0,0.0,9221,98.1,26.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
500, 36 months,B2,,< 1 year,RENT,2000.0,Not Verified,Oct-2007,other,Loan for Job Training,727xx,AR,0.0,0.0,Feb-2007,6.0,2.0,0.0,0,0.0,2.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
7000, 36 months,D3,The Grove,< 1 year,RENT,23000.0,Not Verified,Sep-2007,other,RV,871xx,NM,5.01,0.0,Aug-2004,3.0,3.0,0.0,1061,81.9,4.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
24000, 36 months,C2,Noyes Memorial Hospital,< 1 year,MORTGAGE,165000.0,Not Verified,Dec-2007,debt_consolidation,Personal Loan,144xx,NY,18.76,1.0,Feb-1985,4.0,22.0,0.0,81617,32.7,45.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
5400, 36 months,B3,Warren Truck & Trailer,1 year,OWN,42000.0,Not Verified,Dec-2007,credit_card,Consolidate Credit Cards,368xx,AL,16.09,0.0,Oct-2001,0.0,11.0,0.0,38054,61.2,12.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
7000, 36 months,A2,UPS Supply Chain Solutions,< 1 year,RENT,43000.0,Not Verified,Dec-2007,small_business,reinvest,402xx,KY,1.65,0.0,Jan-2000,0.0,7.0,0.0,2698,9.5,17.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
10000, 36 months,E2,,< 1 year,RENT,35000.0,Not Verified,Aug-2007,debt_consolidation,CREDIT CARD DEBT,101xx,NY,17.38,0.0,Mar-2000,0.0,10.0,0.0,22213,65.9,22.0,f,,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
8000, 36 months,B5,New England Quality Electric,3 years,OWN,25000.0,Not Verified,Aug-2007,car,Car loan,069xx,CT,0.48,0.0,Nov-2005,1.0,3.0,0.0,316,19.2,3.0,f,,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
3000, 36 months,A3,Impress,10+ years,OWN,125000.0,Not Verified,Aug-2007,home_improvement,landscape improvement,981xx,WA,2.14,0.0,Sep-1984,0.0,15.0,0.0,21050,1.0,24.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
8400, 36 months,F3,Fairhaven,8 years,RENT,36000.0,Not Verified,Nov-2007,other,Peronal Loan,217xx,MD,21.5,0.0,Oct-2002,3.0,14.0,0.0,3896,34.2,24.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
5000, 36 months,B1,RGIS,< 1 year,RENT,28019.52,Not Verified,Oct-2007,wedding,Dream Wedding dress,323xx,FL,1.8,0.0,Apr-2005,2.0,2.0,0.0,827,51.7,2.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
1600, 36 months,B5,hunters,10+ years,RENT,18000.0,Not Verified,Nov-2007,medical,medical expenses,334xx,FL,10.33,0.0,Nov-1999,1.0,2.0,0.0,6646,100.7,3.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
14400, 36 months,G1,Best Buy,3 years,MORTGAGE,62000.0,Not Verified,Oct-2007,medical,Don't have Health Insurance...,339xx,FL,24.45,0.0,Apr-2004,4.0,14.0,0.0,15783,74.5,17.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
10250, 36 months,E4,Cuban Medical Association,4 years,RENT,72000.0,Not Verified,Oct-2007,debt_consolidation,Consolidate Car Loans and Credit Cards,331xx,FL,17.83,0.0,Mar-2004,1.0,28.0,0.0,3815,6.5,32.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
5600, 36 months,C1,,< 1 year,RENT,5000.0,Not Verified,Nov-2007,moving,Need In a HURRY!,295xx,SC,0.0,0.0,Mar-2007,3.0,3.0,0.0,0,0.0,3.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
18500, 36 months,C3,liberty denim inc,2 years,MORTGAGE,52000.0,Not Verified,Dec-2007,credit_card,consolidate,296xx,SC,17.56,1.0,Nov-1985,0.0,12.0,0.0,32438,43.0,23.0,f,0.0,1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2007,0
