Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2, Feature 1 Missing , Feature 2 Missing 
loan_amnt,funded_amnt,99.97%,99.97%,2.68%,2.68%, - , - 
funded_amnt,funded_amnt_inv,99.93%,99.93%,2.68%,2.64%, - , - 
open_acc,num_sats,99.90%,99.90%,1.78%,1.84%, 0.00 , 2.77 
loan_amnt,funded_amnt_inv,99.90%,99.90%,2.68%,2.64%, - , - 
num_actv_rev_tl,num_rev_tl_bal_gt_0,98.24%,98.24%,5.07%,5.06%, 3.33 , 3.33 
int_rate,sub_grade,97.66%,97.66%,19.85%,22.50%, - , - 
grade,sub_grade,97.42%,97.42%,22.19%,22.50%, - , - 
tot_cur_bal,tot_hi_cred_lim,96.97%,96.97%,5.24%,6.20%, 3.33 , 3.33 
int_rate,grade,95.29%,95.29%,19.85%,22.19%, - , - 
total_bal_il,total_il_high_credit_limit,95.19%,95.19%,0.20%,1.21%, 40.42 , 3.33 
funded_amnt,installment,94.74%,94.74%,2.68%,3.00%, - , - 
loan_amnt,installment,94.71%,94.71%,2.68%,3.00%, - , - 
funded_amnt_inv,installment,94.65%,94.65%,2.64%,3.00%, - , - 
total_bal_il,total_bal_ex_mort,89.14%,89.14%,0.20%,1.03%, 40.42 , 2.36 
mths_since_recent_bc_dlq,mths_since_recent_revol_delinq,88.65%,88.65%,0.31%,0.67%, 76.74 , 66.98 
total_bal_ex_mort,total_il_high_credit_limit,87.42%,87.42%,1.03%,1.21%, 2.36 , 3.33 
revol_util,bc_util,86.78%,86.78%,6.95%,7.59%, 0.08 , 3.46 
mths_since_last_delinq,mths_since_recent_revol_delinq,86.62%,86.62%,1.30%,0.67%, 50.89 , 66.98 
open_rv_24m,acc_open_past_24mths,85.14%,85.14%,6.91%,8.87%, 40.42 , 2.36 
open_rv_12m,num_tl_op_past_12m,84.73%,84.73%,5.27%,7.72%, 40.42 , 3.33 
bc_open_to_buy,total_bc_limit,84.65%,84.65%,8.08%,7.27%, 3.40 , 2.36 
bc_util,percent_bc_gt_75,84.62%,84.62%,7.59%,7.83%, 3.46 , 3.43 
num_bc_tl,num_rev_accts,83.97%,83.97%,1.56%,2.22%, 3.33 , 3.33 
