Feature 1,Feature 2,Correlation,Abs_Correlation,label_abs_corr_feat1,label_abs_corr_feat2,Feature 1 Missing,Feature 2 Missing,Feature which goes
loan_amnt,funded_amnt,0.9997335074166174,0.9997335074166174,0.02682093959234543,0.026788462298567975,0.0,0.0,funded_amnt
loan_amnt,funded_amnt_inv,0.9989507600461917,0.9989507600461917,0.02682093959234543,0.026352080252760895,0.0,0.0,funded_amnt_inv
funded_amnt,funded_amnt_inv,0.9992687977659239,0.9992687977659239,0.026788462298567975,0.026352080252760895,0.0,0.0,funded_amnt_inv
int_rate,grade,0.9529401654310197,0.9529401654310197,0.19849424398263266,0.22188299811229883,0.0,0.0,int_rate
int_rate,sub_grade,0.9766284903811424,0.9766284903811424,0.19849424398263266,0.22500452182134473,0.0,0.0,int_rate
grade,sub_grade,0.9741783476473471,0.9741783476473471,0.22188299811229883,0.22500452182134473,0.0,0.0,grade
open_acc,num_sats,0.9989570071415533,0.9989570071415533,0.01776663231394419,0.018432439266359544,0.0009343131163546839,2.768836920317106,num_sats
tot_cur_bal,tot_hi_cred_lim,0.9696512162622745,0.9696512162622745,0.05242633659939442,0.061955101049037724,3.3252203811063206,3.3252203811063206,tot_cur_bal
total_bal_il,total_il_high_credit_limit,0.9518866426161745,0.9518866426161745,0.001994536754313803,0.012103906507566485,40.420254039736335,3.3252203811063206,total_bal_il
num_actv_rev_tl,num_rev_tl_bal_gt_0,0.9823524625642003,0.9823524625642003,0.05073392113298021,0.05055527066899223,3.3252203811063206,3.3252203811063206,num_rev_tl_bal_gt_0
