loan_amnt,term,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,policy_code,tot_coll_amt,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year_issued,default_status
8000, 36 months,A1,Meat Cutter,10+ years,MORTGAGE,55000.0,Not Verified,Dec-2018,credit_card,Credit card refinancing,984xx,WA,17.83,0.0,May-2002,0.0,12.0,0.0,10999,29.1,49.0,w,0.0,1,0.0,37800.0,12.0,15848.0,7592.0,54.5,0.0,0.0,151.0,161.0,3.0,3.0,5.0,7.0,11.0,0.0,3.0,4.0,4.0,14.0,13.0,9.0,31.0,0.0,0.0,0.0,6.0,98.0,25.0,0.0,0.0,232617.0,20910.0,16700.0,23181.0,2018,1
6000, 36 months,C2,,,MORTGAGE,17000.0,Not Verified,Dec-2018,debt_consolidation,Debt consolidation,342xx,FL,19.99,1.0,Nov-2000,0.0,8.0,0.0,650,8.3,10.0,f,1.0,1,624.0,7800.0,3.0,626.0,3759.0,8.3,0.0,0.0,11.0,140.0,11.0,11.0,0.0,21.0,10.0,2.0,3.0,4.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,1.0,2.0,80.0,0.0,0.0,0.0,13200.0,5005.0,4100.0,5400.0,2018,1
10000, 36 months,A5,,,MORTGAGE,56000.0,Verified,Nov-2018,debt_consolidation,Debt consolidation,852xx,AZ,20.53,0.0,Apr-2011,1.0,7.0,1.0,10494,53.3,19.0,w,0.0,1,0.0,19700.0,5.0,43118.0,2323.0,80.6,0.0,0.0,91.0,71.0,19.0,6.0,3.0,19.0,5.0,0.0,2.0,3.0,2.0,2.0,10.0,3.0,6.0,0.0,0.0,0.0,2.0,100.0,50.0,1.0,0.0,327790.0,30771.0,12000.0,34590.0,2018,1
10000, 60 months,E5,CNC Robotic Welder,10+ years,RENT,70000.0,Source Verified,Nov-2018,debt_consolidation,Debt consolidation,612xx,IL,11.37,0.0,Nov-2008,1.0,4.0,0.0,3193,84.0,24.0,w,0.0,1,0.0,3800.0,7.0,5822.0,232.0,87.1,0.0,0.0,120.0,89.0,17.0,1.0,0.0,17.0,3.0,2.0,1.0,2.0,1.0,3.0,20.0,2.0,4.0,0.0,0.0,0.0,3.0,91.7,100.0,0.0,0.0,25493.0,23289.0,1800.0,21693.0,2018,1
35000, 36 months,C4,,< 1 year,MORTGAGE,300000.0,Source Verified,Nov-2018,other,Other,989xx,WA,13.88,0.0,Aug-2010,2.0,22.0,1.0,44283,84.5,44.0,w,0.0,1,0.0,52400.0,4.0,3960.0,5173.0,74.4,0.0,0.0,92.0,99.0,12.0,12.0,0.0,26.0,1.0,1.0,9.0,15.0,9.0,16.0,10.0,18.0,34.0,0.0,0.0,0.0,2.0,95.5,44.4,1.0,0.0,142518.0,87111.0,20200.0,90118.0,2018,1
4800, 36 months,C5,Information Tech II,10+ years,MORTGAGE,111000.0,Source Verified,Nov-2018,debt_consolidation,Debt consolidation,231xx,VA,13.35,0.0,Jun-2006,0.0,12.0,0.0,2809,35.1,19.0,w,0.0,1,0.0,8000.0,10.0,2672.0,4605.0,35.1,0.0,0.0,128.0,149.0,1.0,1.0,0.0,7.0,0.0,2.0,6.0,7.0,7.0,8.0,5.0,9.0,13.0,0.0,0.0,0.0,5.0,77.8,14.3,0.0,0.0,41728.0,32060.0,7100.0,33584.0,2018,1
35000, 36 months,C2,Engineer,1 year,RENT,95000.0,Source Verified,Nov-2018,home_improvement,Home improvement,750xx,TX,11.61,1.0,Jun-2005,2.0,5.0,0.0,5036,33.8,23.0,w,0.0,1,0.0,14900.0,4.0,94650.0,,,0.0,0.0,161.0,99.0,28.0,2.0,4.0,,0.0,0.0,0.0,2.0,0.0,6.0,10.0,2.0,9.0,0.0,0.0,0.0,1.0,86.4,,0.0,0.0,501756.0,56195.0,0.0,62815.0,2018,1
15000, 36 months,B3,,,OWN,20000.0,Verified,Nov-2018,major_purchase,Major purchase,986xx,WA,0.15,0.0,Jan-2013,0.0,3.0,0.0,86,0.3,5.0,w,0.0,1,0.0,27000.0,1.0,29.0,20914.0,0.4,0.0,0.0,70.0,46.0,15.0,15.0,0.0,29.0,,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27000.0,86.0,21000.0,0.0,2018,1
16000, 60 months,B1,warehouse,< 1 year,RENT,45000.0,Not Verified,Nov-2018,debt_consolidation,Debt consolidation,551xx,MN,25.52,0.0,Feb-2013,1.0,10.0,0.0,10784,19.5,14.0,f,0.0,1,0.0,55200.0,6.0,3131.0,22511.0,27.6,0.0,0.0,66.0,68.0,2.0,2.0,0.0,53.0,2.0,0.0,3.0,6.0,3.0,3.0,5.0,7.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,85395.0,28179.0,31100.0,30195.0,2018,1
25000, 36 months,A1,Technician,10+ years,MORTGAGE,83200.0,Source Verified,Nov-2018,debt_consolidation,Debt consolidation,210xx,MD,28.54,1.0,Jul-1996,0.0,16.0,0.0,26937,56.5,30.0,w,0.0,1,207.0,47700.0,2.0,17559.0,13952.0,59.8,0.0,0.0,152.0,268.0,14.0,9.0,5.0,30.0,12.0,0.0,8.0,10.0,9.0,11.0,9.0,12.0,16.0,0.0,0.0,0.0,1.0,90.0,44.4,0.0,0.0,336910.0,60497.0,34700.0,66979.0,2018,1
